Team,Matches Played,Total Goals Scored,Goals Scored Avg,Total Goals Against,Total Defeats,Total Wins,Win/Loss Ratio
Ajaccio,266,270,1.0150375939849625,300,90,176,1.9555555555555555
Ajaccio GFCO,38,46,1.2105263157894737,64,14,24,1.7142857142857142
Amiens,76,92,1.2105263157894737,82,26,50,1.9230769230769231
Angers,152,180,1.1842105263157894,164,46,106,2.3043478260869565
Arles,38,28,0.7368421052631579,62,22,16,0.7272727272727273
Auxerre,482,672,1.3941908713692945,416,102,380,3.7254901960784315
Bastia,406,556,1.3694581280788178,370,104,302,2.9038461538461537
Bordeaux,748,1102,1.4732620320855614,660,132,616,4.666666666666667
Boulogne,38,38,1.0,62,20,18,0.9
Brest,114,120,1.0526315789473684,120,38,76,2.0
Caen,380,418,1.1,470,148,232,1.5675675675675675
Dijon,152,206,1.355263157894737,208,58,94,1.6206896551724137
Evian Thonon Gaillard,152,210,1.381578947368421,206,60,92,1.5333333333333334
Grenoble,76,66,0.868421052631579,82,32,44,1.375
Guingamp,372,488,1.3118279569892473,442,124,248,2.0
Istres,38,22,0.5789473684210527,38,18,20,1.1111111111111112
Le Havre,110,102,0.9272727272727272,140,60,50,0.8333333333333334
Le Mans,228,262,1.1491228070175439,212,62,166,2.6774193548387095
Lens,444,626,1.40990990990991,424,90,354,3.933333333333333
Lille,714,1136,1.5910364145658262,598,134,580,4.3283582089552235
Lorient,452,594,1.3141592920353982,460,118,334,2.830508474576271
Lyon,748,1474,1.9705882352941178,620,90,658,7.311111111111111
Marseille,748,1242,1.660427807486631,698,140,608,4.3428571428571425
Metz,368,416,1.1304347826086956,498,150,218,1.4533333333333334
Monaco,672,1122,1.6696428571428572,626,128,544,4.25
Montpellier,524,712,1.3587786259541985,510,144,380,2.638888888888889
Nancy,376,450,1.196808510638298,408,124,252,2.032258064516129
Nantes,558,672,1.2043010752688172,564,158,400,2.5316455696202533
Nice,646,848,1.3126934984520124,564,144,502,3.486111111111111
Nimes,38,60,1.5789473684210527,40,10,28,2.8
Paris SG,748,1524,2.037433155080214,598,102,646,6.333333333333333
Reims,190,238,1.2526315789473683,218,58,132,2.2758620689655173
Rennes,748,1076,1.4385026737967914,752,186,562,3.021505376344086
Sedan,178,254,1.4269662921348314,172,36,142,3.9444444444444446
Sochaux,490,626,1.2775510204081633,492,134,356,2.656716417910448
St Etienne,638,942,1.4764890282131662,574,144,494,3.4305555555555554
Strasbourg,334,432,1.2934131736526946,430,114,220,1.9298245614035088
Toulouse,642,764,1.190031152647975,640,180,462,2.566666666666667
Troyes,330,382,1.1575757575757575,370,110,220,2.0
Valenciennes,304,426,1.4013157894736843,306,78,226,2.8974358974358974
